year_country_id,country_id,year_id,total_pop,pop_density,age_pop
1,1,1,8283933.999999999,207.1397779555911,41.259268041334
2,2,1,330951.5,3.3014923735323163,34.9403918093962
3,3,1,5683701.0,134.0685238477143,40.4979988645493
4,4,1,5189771.0,17.05893316153123,38.1764288527212
5,5,1,35962234.0,3.954715600922724,39.6290380632086
6,6,1,5479717.5,18.12201740200212,41.456439768941
7,7,1,17107433.0,508.0761783136824,41.2118081433679
8,8,1,9799481.5,24.057253154612855,39.9444176641937
9,9,1,4614029.0,17.41780576286414,36.3873251570844
10,10,1,23948002.0,3.1172958619163533,36.2542288721404
11,11,1,8052908.5,372.0791248902647,28.761189196621
12,12,1,4818038.5,94.36033098315708,30.155025059482
13,13,1,8644038.5,104.752099516475,41.9973109706317
14,14,1,121072306.0,61.795293908683334,26.2581118821144
15,15,1,326126496.5,35.651618573323056,36.3866299666407
16,16,1,201675532.0,24.129235930482142,30.471444119968
17,17,1,569536.0,219.8980694980695,38.2648455468605
18,18,1,4702487.0,68.78299471967469,35.3694070095851
19,19,1,11275334.5,372.39363564304114,40.429147585621
20,20,1,8674633.0,122.1366439513404,30.7972901018243
21,21,1,65382110.0,269.34926526627146,38.7839351614157
22,22,1,4184895.000000001,13.521470113085623,27.8205422654647
23,23,1,30573972.0,33.36149141519677,26.3334743054703
24,24,1,5525339.5,8089.808931185944,33.3378000161843
25,25,1,3960034.5,53.38628550628901,27.2682463599821
26,26,1,82077550.5,235.47610310993804,44.8125226267916
27,27,1,18047625.5,23.96909439354861,33.3310943234649
28,28,1,2427330.5,209.50548075263248,30.1435289324949
29,29,1,64916336.0,117.73429576698466,40.2857678669725
30,30,1,43477012.0,15.573055472972731,29.8605940337544
31,31,1,10524416.5,136.32134113959302,40.3627470478781
32,32,1,3368017.0,19.446274740756134,34.0396729275148
33,33,1,46969940.5,41.799843283761405,28.5661745944926
34,34,1,70540795.5,138.0743320479947,35.7812498025551
35,35,1,29974938.0,13.94384213537766,26.9668231068048
36,36,1,46683686.0,92.92985822746508,41.6186374909939
37,37,1,444980.5,1412.636507936508,39.5287049646741
38,38,1,23529254.0,664.480485738492,38.9747069086279
39,39,1,3834454.0,215.20114490964193,32.8993604732222
40,40,1,581627.0,3.7283782051282057,26.5078723045687
41,41,1,1429188.5,278.59424951267056,32.9365424886984
42,42,1,6183676.5,298.43998552123554,23.8335502072857
43,43,1,15971743.0,149.0457540126913,19.9969371635784
44,44,1,30749346.5,72.28337212035731,25.2675540965234
45,45,1,5420278.0,110.54347072379826,38.1945931972541
46,46,1,127275872.5,337.75946463070295,45.8446969655174
47,47,1,50983911.5,515.2856846871431,39.8667146317472
48,48,1,16266225.0,65.49454421001772,25.3555325872658
49,49,1,1369650.0,1749.233716475096,30.0228081972449
50,50,1,60575316.0,204.66362361685952,44.4021070741814
51,51,1,11014705.0,10.167761011061602,22.7503400937997
52,52,1,3287164.5,99.96850860653244,35.044618100145
53,53,1,6159103.0,15.2278527331301,23.9155584448596
54,54,1,18084169.0,6.698584657554543,28.2596296252834
55,55,1,2059947.0,102.29153838514252,41.936741636168
56,56,1,2905764.0,46.40238897494451,41.8968022374575
57,57,1,6149417.0,51.10035732092405,22.6690330876259
58,58,1,30457600.0,23.793401380844724,27.0552751212103
59,59,1,9487293.0,46.75616283081169,38.5300107590722
60,60,1,38266314.0,124.97408179128266,38.3169097798178
61,61,1,31232797.5,95.0625399482575,26.8010088295859
62,62,1,4183728.5,74.84844174896236,42.3066732448728
63,63,1,6531819.5,3.896806642174731,25.371632097494
64,64,1,145307615.5,8.873386073373378,37.6848502679957
65,65,1,2802534.0,258.77506925207757,27.7904498345232
66,66,1,1219501.5,131.9806818181818,34.5647140612665
67,67,1,1219501.5,131.9806818181818,34.5647140612665
68,68,1,40019529.0,16.802643865409323,26.583351483661
69,69,1,1779020.0,163.13801008711602,27.2426443146003
70,70,1,6215770.0,13.227012533781627,24.2485200459213
71,71,1,1292275.5,636.5889162561576,34.0294480402925
72,72,1,7366409.5,6702.829390354868,41.7383864415183
73,73,1,1314576.0,30.2437767450421,40.5660451548902
74,74,1,261799249.0,137.0008906653354,27.8590027877948
75,75,1,92823254.0,296.1729050537796,29.1926269014771
76,76,1,80014226.0,103.9680485028664,29.6211528359
77,77,1,6001882.0,31.29239833159541,23.9762771354222
78,78,1,190671878.0,209.3523919321014,16.6656058509464
79,79,1,740618.0,19.28994113663593,24.9419574243015
80,80,1,9752850.0,117.99039415422584,29.6253213296224
81,81,1,217290882.5,281.873809801785,19.2441381266648
82,82,1,9544729.0,107.49294997409734,21.4948737323625
83,83,1,628145.0,45.478207355922386,36.7789762151081
84,84,1,1396134173.5,145.43064307291667,35.6901963147417
85,85,1,16399088.500000002,22.059872341570376,16.1146677184149
86,86,1,19871019.5,86.36719823015004,40.2683548476368
87,87,1,7177253.0,93.53175823603004,42.2472239050912
88,88,1,10370267.0,112.73867478393215,42.8224011249674
89,89,1,1977867.0,31.78470760280907,41.8190476292297
90,90,1,105312991.5,351.043305,22.2128455407803
91,91,1,13806963.5,22.008740874167117,14.9991750443895
92,92,1,34607588.5,77.54333071924714,26.4339170993029
93,93,1,1980366.0,79.49126961827159,36.837251558717
94,94,1,26547572.5,33.759216282204534,15.8332032044975
95,95,1,2898632.0,105.79721147529015,33.2859611745487
96,96,1,3518540.5,68.72552102662266,41.2008914310833
97,97,1,2104611.5,69.32185441370224,20.3457961713668
98,98,1,10434829.0,215.99281737078513,25.137638803264
99,99,1,6801645.5,29.469867850953207,21.9846418245444
100,100,1,2976525.5,1.911139668986896,25.7025728621699
101,101,1,1142812.5,65.81883891032656,19.9532122075035
102,102,1,10820902.5,82.71596468429904,42.6823728255107
103,103,1,6472469.0,632.694916911046,28.3709779467947
104,104,1,9839211.0,108.6845355130896,40.7308268427746
105,105,1,9237305.0,84.68842253882686,20.9081734283923
106,106,1,8643840.0,60.4041928721174,20.7047400853298
107,107,1,11402264.0,73.35948015183683,29.3987687506375
108,108,1,4521565.0,751.0905315614618,18.5809176281577
109,109,1,159383179.0,1224.423284935085,23.4573619559771
110,110,1,82619362.0,50.725625172678434,28.7298450299598
111,111,1,45784896.0,79.03213422633432,39.2323782851301
112,112,1,37560534.5,86.51949309880956,18.5072594305341
113,113,1,56723536.5,46.46373891824546,25.3645520465228
114,114,1,28696067.5,126.11438648149776,19.7755174733068
115,115,1,14399013.0,37.221178751454055,16.728912658314
116,116,1,4659431.0,48.374491279069765,17.5700592140655
117,117,1,1328024497.5,446.6665425014883,25.2707645870168
118,118,1,40024431.5,22.6761098758809,16.784377382709
119,119,1,10523241.5,381.7055932387827,21.5001654172905
120,120,1,81035531.0,35.744924461304336,15.8140412165666
121,121,1,27823629.0,189.0436197607028,21.2383204126961
122,122,1,103867134.5,103.8671345,17.0090514725414
123,123,1,7037655.0,98.0994563702258,17.6618716672012
124,124,1,3965958.5,3.847830115455515,16.7000428240147
125,125,1,47088526.0,81.08533771404169,17.6528160699749
126,126,1,1020313.0,44.01695427092321,22.0287117433445
127,127,1,2921177.5,102.62709035975269,32.714527181311
128,128,1,2203273.0,3.8876943165175657,21.6645130199765
129,129,1,51089055.5,78.20272084372944,27.3511738178874
130,130,1,3791572.5,54.56285076989495,36.0561172583475
131,131,1,17085587.0,180.70042939334968,15.9793588261547
132,132,1,21729971.5,346.5428833426362,30.7316465699382
133,133,1,22763414.5,48.84328827379037,17.1885990346795
134,134,1,7177517.0,66.21569984132256,42.5272304142705
135,135,1,99597342.0,100.05258124466322,22.8783428870614
136,136,1,31159379.0,59.01732863609675,17.6653987469423
137,137,1,28157798.0,22.58586508382129,16.2922570549676
138,138,1,18593022.0,15.23780886583237,14.8803699114829
139,139,1,5097580.5,14.927029282576866,18.2167573684631
140,140,1,726682.0,390.4793121977431,18.7452892491562
141,141,1,37531445.5,187.83849164443689,14.7521555337975
142,142,1,14593330.5,75.7976964628889,17.5380342160019
143,143,1,2040989.5,7.920943454806536,21.2100850335458
144,144,1,19939498.0,15.74129470277098,14.3429741775066
145,145,1,15623250.5,86.29961333443809,23.2145474216684
146,146,1,52020962.0,58.72746197517958,16.4042364386865
147,147,1,25426702.5,43.70388624859272,17.4683803564292
148,148,1,4629320.5,7.4309295643519855,14.3696629200202
149,149,1,14647621.0,11.63248173443456,14.6419078597799
150,150,1,11767070.0,47.88812469477454,16.886225482534
151,151,1,25246342.5,79.39101415094339,17.9473676631834
152,152,1,18777487.0,68.63116593567251,16.0328609891286
153,153,1,33831763.5,52.10530097212981,15.4897428891074
154,154,1,11640022.0,480.79396943411814,18.254116208197
155,155,1,11360681.0,100.75098439162824,17.0529909497656
156,156,1,19424618.0,105.73522399433892,18.4182585229937
157,157,1,11047580.0,425.72562620423895,15.4995446591535
158,158,1,7663195.5,140.8934638720353,18.1828520000062
159,3,2,5728201.0,135.1182006887767,40.592704288874
160,1,2,8374901.0,209.41440788157632,41.3168977155264
161,2,2,335573.5,3.3476003311951956,35.1793134152589
162,4,2,5235983.0,17.21083339359555,38.2814242562411
163,6,2,5495469.0,18.174109313146747,41.4973486491564
164,5,2,36353343.0,3.997725300041007,39.7329304626382
165,7,2,17204693.0,510.96471741261024,41.3430258255435
166,9,2,4714770.0,17.79809968177031,36.2519556554753
167,10,2,24329963.0,3.1670154771357537,36.2468671074585
168,8,2,9923280.0,24.36117248490205,39.8682303440963
169,11,2,8210005.499999999,379.3376842397079,28.8155347605812
170,13,2,8737915.5,105.88974054460184,42.0068190722829
171,15,2,329179426.5,35.985359919270564,36.5088158525904
172,12,2,4866997.5,95.31918331374852,30.6089482590021
173,159,2,3476007.5,399.90882420616657,40.8009729614108
174,26,2,82760102.5,237.43430829699335,44.8162479691437
175,16,2,203218113.5,24.31379631114099,30.9194682855721
176,19,2,11332700.5,374.2882786181386,40.4921738694819
177,18,2,4753503.0,69.52920268550616,35.7416973951962
178,17,2,583506.0,225.29189189189188,38.3392364338248
179,14,2,122251350.5,62.3970781136436,26.5813046155169
180,24,2,5577929.5,8166.807467057101,33.5288644606779
181,21,2,65893357.99999999,271.4554113231798,38.8156116518919
182,27,2,18267221.5,24.260740363953175,33.6203216372201
183,25,2,4029086.5,54.3171940089246,27.5305115614012
184,30,2,43900313.5,15.724678076230116,30.0509735669142
185,31,2,10531948.0,136.41889563877052,40.7711320058615
186,20,2,9030873.0,127.15241326875424,30.8167562350227
187,32,2,3379283.0,19.511322432388734,34.1733507432231
188,37,2,455269.0,1445.298412698413,39.5504143065035
189,33,2,47437512.0,42.21594803535148,28.9849130532374
190,29,2,65086855.5,118.04355526134428,40.5204446667359
191,34,2,70859841.5,138.69882264283896,36.2511092208727
192,35,2,30717808.5,14.289413124683094,27.6336974928219
193,38,2,23586142.5,666.0870516803163,39.4850400447872
194,28,2,2599372.0,224.35456585534263,30.2829875353488
195,36,2,46732771.0,93.02756820887262,42.0473516412572
196,68,2,40850721.0,17.151629061106586,26.8107673949373
197,43,2,16268760.0,151.81746920492722,20.2886739534186
198,40,2,587757.0,3.767673076923077,26.6956828456538
199,39,2,4003971.0,224.71495117297115,33.743157769422
200,49,2,1429604.0,1825.8033205619413,30.1499604326107
201,41,2,1437026.0,280.12202729044833,33.4359126577233
202,23,2,30765720.5,33.57072219282117,26.659819088669
203,45,2,5427259.0,110.68584422735708,38.6035092001622
204,42,2,6200799.5,299.2663851351351,24.1593292230851
205,61,2,31789685.5,96.75752701263126,27.1351066858283
206,57,2,6232665.5,51.792134784776465,22.9899318324938
207,44,2,31284568.0,73.54153267512929,25.5391065524976
208,50,2,60478107.5,204.3351887828364,44.7930679207525
209,48,2,16505138.5,66.45650869705267,25.7212056138992
210,160,2,364705.0,15.98882069267865,23.1393552858024
211,46,2,127159951.0,337.45183693183026,46.1950510483581
212,54,2,18363599.5,6.802088935807682,28.463048329271
213,52,2,3237794.0,98.46706404719907,35.4110017447715
214,64,2,145778677.0,8.902152016159098,37.7968965083077
215,60,2,38263265.0,124.96412405207155,38.6748877447203
216,47,2,51297839.0,518.458496305954,40.47772999209
217,51,2,11180019.5,10.320364129135408,23.0116186254635
218,56,2,2869109.5,45.81705019083055,42.2557698824298
219,59,2,9499063.5,46.81417130747622,38.6536994165322
220,66,2,1237112.5,133.8866341991342,34.9380585238322
221,55,2,2061373.0,102.36234978647332,42.2564367999229
222,58,2,30866493.5,24.11282796624602,27.3332026665313
223,70,2,6360041.0,13.53401783244313,24.4644158982884
224,71,2,1291803.5,636.3564039408867,34.4448451539395
225,63,2,6632125.5,3.9566480212958135,25.5784112301709
226,89,2,1959863.0,31.49537981904961,42.0437115212949
227,67,2,1237112.5,133.8866341991342,34.9380585238322
228,53,2,6249126.0,15.450426862284065,24.2414638804122
229,86,2,19777050.5,85.95877231871208,40.6185505013482
230,73,2,1315849.0,30.273064004049143,40.6913539432587
231,65,2,2809915.0,259.45660203139425,28.2714764938267
232,62,2,4136443.500000001,74.00249570631173,42.7091610395005
233,72,2,7408009.5,6740.6819836214745,42.1712434904817
234,161,2,14348740.0,22.872349921892436,15.0365551437659
235,69,2,1761763.5,161.55557083906464,27.7426864862475
236,76,2,81652088.5,106.09623715573204,29.8752573323996
237,74,2,264627418.0,138.4808860183858,28.1034581325065
238,82,2,10006366.5,112.69192175146968,21.8282428535569
239,80,2,9868428.0,119.3886617145346,29.8728908424326
240,90,2,106735719.0,355.78573,22.5829226075142
241,84,2,1404052632.0,146.2554825,35.9852705182425
242,79,2,747866.0,19.478720633432307,25.3762647683745
243,77,2,6108461.5,31.8480787278415,24.1078703801644
244,87,2,7126083.0,92.86492650125103,42.4815358312762
245,96,2,3473003.0,67.83606461316093,41.7231669011358
246,83,2,624248.5,45.19609759629308,37.1676932667422
247,98,2,10551429.5,218.4063567303513,25.4477461362579
248,92,2,35023457.5,78.47514564194488,26.7844015386966
249,104,2,9810532.0,108.3677454987297,41.0608608036819
250,81,2,220138868.5,285.5682706776671,19.3116062106895
251,103,2,6323059.5,618.0898826979472,28.4378191885363
252,88,2,10346372.0,112.478904169158,43.2839081513065
253,93,2,1961259.5,78.72434070565568,37.3317298385063
254,75,2,94000116.5,299.9279424011435,29.5173648653318
255,162,2,14348740.0,22.872349921892436,15.0365551437659
256,107,2,11528673.5,74.17276909219585,29.7273405954488
257,102,2,10775504.0,82.36893441369821,43.0771363629634
258,106,2,8865631.0,61.95409503843466,20.8476085963752
259,100,2,3040812.0,1.95241614396765,25.9068031274906
260,99,2,6908802.5,29.93415294627383,22.2495783327535
261,78,2,195443700.0,214.59171909483183,16.7138924958719
262,105,2,9412380.0,86.29352549645195,21.2399809216501
263,110,2,83812228.0,51.45800644666155,29.2365366359867
264,85,2,16914423.0,22.753094607137573,16.2626885990335
265,121,2,27955462.0,189.93933999633103,21.5148951477503
266,108,2,4632739.0,769.5579734219269,18.7879194988661
267,95,2,2897866.5,105.76927147967004,33.593737856253
268,109,2,160811932.5,1235.3993431666283,23.7742264450105
269,123,2,7205328.5,100.43669500975746,17.8305369098282
270,112,2,38469627.0,88.61355867393948,18.6802717139827
271,163,2,2439213.0,2.9627628174762233,20.5233939240288
272,133,2,23454161.5,50.32541894646497,17.2489637208485
273,122,2,106718162.0,106.718162,17.2541215301749
274,113,2,57259551.0,46.90280247671019,25.6935622413755
275,132,2,21910772.5,349.42624192648117,31.0147751994465
276,117,2,1343944296.0,452.02099294024265,25.613151815292
277,129,2,51495696.0,78.825171057264,27.6313519280085
278,135,2,101644589.0,102.10918579536892,22.9587313216081
279,127,2,2918792.5,102.54330030916245,33.0669361884418
280,125,2,48139687.0,82.89541231006599,17.8500836093933
281,111,2,45616832.0,78.74202858523786,39.5164928172881
282,114,2,29356741.5,129.0179375054935,19.879449472604
283,120,2,83956415.0,37.033331862993755,15.8418219912526
284,130,2,3792057.0,54.569822996114546,36.0892764476079
285,139,2,5222536.0,15.292931185944363,18.1444670724731
286,142,2,15034520.5,78.08923544382694,17.6422325152898
287,134,2,7127434.0,65.7536624967711,42.7532849131521
288,124,2,4086656.5,3.9649330552052,16.7002570484931
289,115,2,14600294.0,37.74148636422386,16.7720390555199
290,131,2,17557739.0,185.6939990692952,16.1386425634752
291,118,2,41259892.0,23.37606830115699,16.977692744957
292,143,2,2100306.0,8.151146815694492,21.3312512762301
293,138,2,19191289.5,15.72811570329211,14.8846120091472
294,119,2,10671457.0,387.0817584968624,21.7506980267285
295,128,2,2234775.5,3.943280750974891,21.7189114708903
296,140,2,741741.0,398.57119828049434,18.8610946950634
297,151,2,25989404.5,81.72768710691824,17.842347335729
298,145,2,15852803.0,87.56761399729334,23.5950661631381
299,137,2,29183070.0,23.408253790005613,16.2789861591425
300,144,2,20685753.5,16.330428278203204,14.4169379752513
301,164,2,10830102.0,19.196998702486542,16.9624419439277
302,149,2,15114655.0,12.0033791296061,14.6473520683833
303,152,2,19334855.5,70.66833150584796,16.0964592021076
304,141,2,38799152.0,194.18314673660083,14.9702735231886
305,136,2,32109010.0,60.81597439248442,17.7734213612541
306,147,2,26099952.0,44.861079933653606,17.6693476699749
307,146,2,53824013.0,60.762960838922425,16.5481623156395
308,116,2,4755608.0,49.37300664451827,17.5944437810452
309,150,2,12073030.0,49.13328178414456,17.0221084599274
310,154,2,11919183.0,492.32478314745975,18.3877891878414
311,155,2,11697841.5,103.74105622561191,17.1096177296206
312,153,2,34700612.0,53.44344027993396,15.680542950693
313,158,2,7858289.0,144.48040080897223,18.2257304589297
314,156,2,19193833.5,104.47898045833108,18.3575455817701
315,157,2,11239451.0,433.1194990366089,15.1230859910022
316,4,3,5276802.5,17.345008316185993,38.4092762397262
317,3,3,5765168.0,135.99018729065435,40.7240616726529
318,2,3,343531.5,3.4269874205680195,35.3061439796745
319,1,3,8453628.0,211.38297659531904,41.3842126986486
320,6,3,5508396.0,18.216860297838146,41.591969654415
321,7,3,17315370.0,514.2517299753497,41.4134611386503
322,5,3,36808496.5,4.0477778815148,39.7702684170451
323,9,3,4812751.5,18.16797658010668,36.1812555833534
324,8,3,10057861.5,24.691563558697897,39.7159777376753
325,10,3,24731038.5,3.219223214401937,36.2682490182939
326,11,3,8361796.5,386.3510834911981,28.8573700990815
327,12,3,4913177.0,96.22359968664315,31.0707740876842
328,13,3,8798777.5,106.62729189641172,42.1147014848718
329,15,3,332204659.5,36.31607347419152,36.64973273458
330,18,3,4810260.5,70.35939122676145,36.1300199250485
331,26,3,83104007.0,238.4209519164563,44.8888316122982
332,19,3,11376580.5,375.73751568795825,40.5860201495273
333,17,3,596495.5,230.30714285714285,38.4174834867384
334,21,3,66354471.00000001,273.3550203715071,38.866100388869
335,27,3,18558867.5,24.648076110891235,33.8620898173456
336,20,3,9234327.0,130.01699425546295,30.8336889637063
337,16,3,204703445.0,24.49150708171914,31.3669873746466
338,31,3,10541341.5,136.5405683716954,41.1807929708445
339,30,3,44288894.0,15.863863944895964,30.2575754366885
340,14,3,123400057.5,62.98337806137865,26.9180826692538
341,24,3,5604078.5,8205.092972181552,33.7745117296323
342,37,3,467902.5,1485.404761904762,39.4704393575051
343,32,3,3388437.5,19.564178733919952,34.3308032229016
344,43,3,16567357.0,154.60392870474058,20.589590063402
345,25,3,4098707.000000001,55.25576661229223,27.7946165950125
346,29,3,65284776.0,118.40251006565344,40.7099523443826
347,34,3,71160187.0,139.2867094677915,36.723153221203
348,38,3,23632948.0,667.4088675515391,40.0161945895818
349,36,3,46868595.5,93.29794427833758,42.4388561412516
350,28,3,2706709.5,233.6189798032108,30.4729153931426
351,33,3,48131078.0,42.83317151484355,29.371497475592
352,35,3,30782402.0,14.31946094553168,28.1095091102864
353,41,3,1445260.5,281.72719298245613,33.9303242081174
354,39,3,4154684.500000001,233.17344819845104,34.5691679667121
355,45,3,5435700.5,110.85800379336364,39.005332301783
356,49,3,1481995.0,1892.7139208173692,30.3483936223534
357,61,3,32355644.5,98.48012326890884,27.4661120172302
358,57,3,6316231.5,52.48655060661459,23.315282723371
359,48,3,16759519.499999998,67.4807517313577,26.09278760101
360,42,3,6213533.5,299.88096042471045,24.5159614466801
361,60,3,38254958.5,124.93699582617556,39.0338255818543
362,44,3,31819177.5,74.79825458392102,25.8209824154127
363,50,3,60390318.0,204.0385775825661,45.1765132040652
364,64,3,146186799.0,8.927074481912706,37.9538583157729
365,160,3,373201.5,16.361310828583953,23.5338060795464
366,46,3,127064690.0,337.1990372163132,46.5353961418369
367,56,3,2829312.5,45.181528560706475,42.6762104390763
368,68,3,41689299.0,17.5037153509619,27.0239079376433
369,89,3,1942594.0,31.21786362832854,42.251382620595
370,47,3,51486270.5,520.3629412894293,41.0507706822567
371,52,3,3193497.5,97.11992883644548,35.7669151564298
372,86,3,19689401.5,85.57781559136981,40.9587737174631
373,51,3,11344587.5,10.472278147174782,23.2732375047417
374,70,3,6507061.0,13.84687293852276,24.6783134542687
375,54,3,18651931.0,6.908890247064488,28.6753819779109
376,66,3,1254275.5,135.74410173160177,35.320211094484
377,55,3,2062410.0,102.41384447313536,42.5683797043515
378,58,3,31324636.5,24.47072813857819,27.6118695951407
379,71,3,1290655.0,635.7906403940887,34.8504851028235
380,67,3,1254275.5,135.74410173160177,35.320211094484
381,73,3,1317424.5,30.309310725624627,40.8797465888966
382,59,3,9495789.5,46.79803607510719,38.8151643976998
383,63,3,6738769.5,4.020270576626389,25.7907477361893
384,76,3,83083662.0,107.95638016434424,30.1522920466675
385,53,3,6338660.5,15.67179321717932,24.5660724060098
386,72,3,7444891.5,6774.241583257507,42.6619741855436
387,90,3,108119693.5,360.39897833333333,22.9542209028972
388,87,3,7073506.5,92.17976569015846,42.7085269138229
389,82,3,10234226.0,115.25808050093477,22.1822497498373
390,104,3,9785604.5,108.0923947862587,41.4225838378764
391,65,3,2815763.5,259.9966297322253,28.7585405124336
